scheme_name,state,ministry,category,tags,scheme_details,benefits,eligibility,application_process,documents_required,url,last_verified,search_text
Training Programme for Entrepreneurship Development in Biotechnology,Uttarakhand,,"['Skills & Employment', 'Agriculture,Rural & Environment']","['Training Program', 'Entrepreneurship Development', 'Biotechnology', 'Student', 'Researcher']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/tpedb,2026-03-16,Training Programme for Entrepreneurship Development in Biotechnology Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
Grant for Sex-Sorted Semen to Livestock Farmers,Uttarakhand,,"['Agriculture,Rural & Environment']","['Livestock', 'Buffalo', 'Cattle', 'Sex-Sorted Semen', 'Livestock', 'Artificial Insemination']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/slfsss,2026-03-16,Grant for Sex-Sorted Semen to Livestock Farmers Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
State Fisheries Input Scheme,Uttarakhand,,"['Agriculture,Rural & Environment']","['Fisheries', 'Subsidy', 'Fish Farming', 'Fish Farmer', 'Fishermen']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/sfis,2026-03-16,State Fisheries Input Scheme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
Aromatic Awareness Programme - Centre for Aromatic Plants,Uttarakhand,,"['Agriculture,Rural & Environment']","['Aromatic', 'Awareness Programme', 'Aromatic Plants']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/aapcap,2026-03-16,Aromatic Awareness Programme - Centre for Aromatic Plants Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
Very Dense Apple Plantation Scheme,Uttarakhand,,"['Agriculture,Rural & Environment']","['Apple Plantation', 'Subsidy', 'Apple']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/vdaps,2026-03-16,Very Dense Apple Plantation Scheme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
Establishment of Vermicompost Units,Uttarakhand,,"['Agriculture,Rural & Environment']","['Vermicompost Unit', 'Subsidy', 'Self-Help Group', 'Farmer']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/evcu,2026-03-16,Establishment of Vermicompost Units Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
Udhyan Card,Uttarakhand,,"['Agriculture,Rural & Environment']","['Horticulture', 'Card', 'Farmer']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ucuk,2026-03-16,Udhyan Card Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Uttarakhand
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Training Kit - Gujarat,Gujarat,,"['Agriculture,Rural & Environment']","['Fish', 'Fish Activities', 'Fish Production', 'Scheduled Tribes', 'Fishermen', 'Training Kit']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ifpiftrainingkitguj,2026-03-16,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Training Kit - Gujarat Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Assistance to the Fishermen for Purchase of Fisheries Requisites,Dadra & Nagar Haveli and Daman & Diu,,"['Agriculture,Rural & Environment']","['Fishermen', 'Bank Loan', 'Fisheries Requisites', 'Solar Equipment', 'Ice Boxes', 'IBM Engine', 'Electrical Equipment']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/afpfribm,2026-03-16,Assistance to the Fishermen for Purchase of Fisheries Requisites Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Dadra & Nagar Haveli and Daman & Diu
Financial Assistance to Fishermen Affected by Natural Calamities / Accident,Dadra & Nagar Haveli and Daman & Diu,,"['Agriculture,Rural & Environment']","['Fishermen', 'Natural Calamities', 'Accident', 'Death']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fafnc,2026-03-16,Financial Assistance to Fishermen Affected by Natural Calamities / Accident Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Dadra & Nagar Haveli and Daman & Diu
Krishi Vidya Nidhi Yojana,Odisha,,"['Education & Learning', 'Agriculture,Rural & Environment']","['Scholarship', 'Higher Education', 'Farmers Children', 'DBT', 'CM-KISAN']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/kvny,2026-03-16,Krishi Vidya Nidhi Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Odisha
Fisheries Training and Extension Programme,Dadra & Nagar Haveli and Daman & Diu,,"['Agriculture,Rural & Environment']","['Fishermen', 'Travelling Allowance', 'Stipend', 'Daily Allowance', 'Training']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ftep,2026-03-16,Fisheries Training and Extension Programme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Dadra & Nagar Haveli and Daman & Diu
A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,Gujarat,,"['Agriculture,Rural & Environment']","['Agriculture', 'Horticultural', 'Fruit Crops']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ptpapmh,2026-03-16,A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Assistance for Planting Vegetable Crops for Raw and Ripe Mandap,Gujarat,,"['Agriculture,Rural & Environment']","['Vegetable Crops', 'Farmer', 'Raw And Ripe Mandap']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/apvcrrm,2026-03-16,Assistance for Planting Vegetable Crops for Raw and Ripe Mandap Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
SVAMITVA Yojana (Survey of Villages and Mapping with Improvised Technology in Village Areas),All,,"['Agriculture,Rural & Environment']","['Rural', 'Survey', 'Village', 'Drone', 'Property']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/pmsy,2026-03-16,SVAMITVA Yojana (Survey of Villages and Mapping with Improvised Technology in Village Areas) Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
National Scheme Of Welfare Of Fishermen,All,,"['Agriculture,Rural & Environment']","['Fisheries', 'Financial Assistance', 'Social Welfare']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/nswf,2026-03-16,National Scheme Of Welfare Of Fishermen Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
Krishonnati Yojana - Sub Mission On Seed And Planting Material (SMSP),Jammu and Kashmir,,"['Agriculture,Rural & Environment']","['Farmer', 'Agriculture', 'Subsidy']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ky-smsp,2026-03-16,Krishonnati Yojana - Sub Mission On Seed And Planting Material (SMSP) Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Jammu and Kashmir
National Agriculture Market,All,,"['Agriculture,Rural & Environment']","['APMC', 'Electronic Trading', 'E-payment', 'E-bidding']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/e-nam,2026-03-16,National Agriculture Market Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
Chief Minister Samagra Gramya Unnayan Yojana,Assam,,"['Agriculture,Rural & Environment']","['Chief Minister', 'Samagra', 'Gramya', 'Unnayan', 'Financial Assistance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/cmsguy,2026-03-16,Chief Minister Samagra Gramya Unnayan Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Assam
Krushi Mahotsav,Gujarat,,"['Agriculture,Rural & Environment', 'Education & Learning']","['Education', 'Agriculture', 'Famers', 'Training', 'Scientific Farming', 'Farm Mechanization']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/km,2026-03-16,Krushi Mahotsav Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Mukhyamantri Kisan Sahay Yojana,Gujarat,,"['Agriculture,Rural & Environment']","['Kisan Sahay', 'Drought', 'Flood', 'Earthquake', 'Natural Calamities', 'Financial Assistance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/mksy,2026-03-16,Mukhyamantri Kisan Sahay Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Cluster Nutritional Kitchen Garden Scheme,Arunachal Pradesh,,"['Agriculture,Rural & Environment']","['Malnutrition', 'Vegetable Cultivation', 'Livestock Rearing']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/cnkgs,2026-03-16,Cluster Nutritional Kitchen Garden Scheme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Arunachal Pradesh
Mukhyamantri Vriksharopan Protsahan Yojana,Chhattisgarh,,"['Agriculture,Rural & Environment']","['Agriculture', 'Plantation', 'Commercial Plantation']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/mvp,2026-03-16,Mukhyamantri Vriksharopan Protsahan Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Chhattisgarh
Arun Pig Development Scheme,Arunachal Pradesh,,"['Agriculture,Rural & Environment']","['Pig Farming', 'Farmer', 'Self Help Group (SHG)', 'Subsidy', 'Entrepreneur']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/apds,2026-03-16,Arun Pig Development Scheme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Arunachal Pradesh
₹ 5 Lakh Insurance Cover To Farmers,Telangana,,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']","['LIC', 'Insurance Coverage', 'Financial', 'Security']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/farmer-insurance,2026-03-16,₹ 5 Lakh Insurance Cover To Farmers Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Telangana
Atma Nirbhar Krishi Yojana,Arunachal Pradesh,,"['Agriculture,Rural & Environment']","['Sustainability', 'Empowerment', 'Farmers']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/anky,2026-03-16,Atma Nirbhar Krishi Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Arunachal Pradesh
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Tribe Women,Gujarat,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship', 'Women and Child']","['Scheduled Tribe', 'Woman', 'Subsidy', 'Milk Production', 'Goat']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ssegu10stw,2026-03-16,Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Tribe Women Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Subsidy Scheme On Establishment Of 40 R.I.R. Birds Unit For Divyang People,Gujarat,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship']","['Poultry Farming', 'Divyang', 'Subsidy', 'Rhode Island Red (RIR)', 'Employment']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/sse40rbudp,2026-03-16,Subsidy Scheme On Establishment Of 40 R.I.R. Birds Unit For Divyang People Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
